title,summary,is_word_play,Разметка - механизм 1,Разметка - механизм 2,Комментарий,URL,creation_date,article_url
Польша уточнила Европу // Варшава ввела свои санкции против бизнеса из РФ,"Власти Польши ввели санкции в отношении целого ряда российских бизнесменов и связанных с ними компаний. В списке Варшавы помимо «Газпрома», НОВАТЭКа и СУЭК, имеющих активы в Польше, оказались основатели компаний Kaspersky Евгений Касперский и Wildberries Татьяна Бакальчук. Санкции включают замораживание активов на территории Польши, а для физических лиц также запрет на въезд. Пока у Польши нет возможности провести конфискацию имущества: для этого, отмечают юристы, нужны изменения в конституцию страны.",Нет,,,,,2022-04-26,
"Не, он не ястреб, он другой // Владимир Путин на пресс-конференции показал себя скорее голубем","14 октября президент России Владимир Путин в Астане дал пресс-конференцию, на которой рассказал, что мобилизация закончится через две недели и что он ни о чем не жалеет. Специальный корреспондент “Ъ” Андрей Колесников — о том, что на этот раз президент России сообщил гораздо больше новостей, чем на такой же пресс-конференции в Самарканде, а кроме того, иначе, чем тогда, выглядел.",Нет,,,,,2022-10-14,
В «Безопасный город» едет ревизор // Прокуратура проверит системы в регионах,"Как стало известно “Ъ”, Совбез планирует поручить прокуратуре проверить внедрение системы аппаратно-программного комплекса (АПК) «Безопасный город» в регионах. Недавний аудит показал, что в ряде субъектов она работает неэффективно или вообще присутствует номинально. Эксперты признают, что системы городской безопасности на местах развиты неравномерно, но в перспективе считают реалистичной интеграцию их данных.",Нет,,,,,2021-08-09,
"Ищут особо желающих // В Белом доме решают, кого отправить в украинскую столицу","Серия визитов в Киев, предпринятых за последние дни европейскими лидерами, не осталась незамеченной в Вашингтоне. Республиканцы уличили президента США Джо Байдена в недостаточном рвении, после чего тот был вынужден признать: он готов посетить украинскую столицу. Но уже на следующий день в Белом доме подчеркнули, что поездка главы государства не планируется. Соратники Джо Байдена указывают: вместо того чтобы акцентировать внимание на символических жестах, надо смотреть на реальную политику Вашингтона на украинском направлении. Например, на выделение Киеву дополнительной военной помощи в размере $800 млн, которое вызвало в Москве ожидаемо негативную реакцию.",Нет,,,,,2022-04-15,
Торговлю проверят на добросовестность // Власти изучат проблемы в отношениях поставщиков и ритейлеров,"Проблемы в отношениях производителей продуктов и ритейлеров, включая бонусы за поставки и штрафы, которые участники рынка в последнее время пытались решить самостоятельно, на этой неделе поднимут на совещании в Минпромторге. Бизнес ждет, что на встрече могут обсуждаться и новые законодательные инициативы, включая дополнительные ограничения для сетей по взиманию бонусов с поставщиков. Эксперты выступают за улучшение баланса на рынке без вмешательства чиновников в ценообразование.",Нет,,,,,2022-01-17,
Mercedes обзаводит дилера // Немецкая компания продает площадку в РФ,"Как узнал “Ъ”, Mercedes-Benz хочет продать свой завод по сборке автомобилей в Подмосковье. Ряд собеседников “Ъ” указывают, что покупателем может стать дилер «Автодом». В Mercedes утверждают, что рассматривают разные варианты ведения бизнеса в РФ. По мнению экспертов, если завод будет продан, то покупатель едва ли сможет использовать его для сборки автомобилей Mercedes.",Нет,,,,,2022-08-26,
Дроны залетают в регионы // Спрос на беспилотники со стороны госсектора увеличивается,"В регионах России в 2021 году почти вдвое выросли затраты на беспилотные летательные аппараты (БПЛА). В рамках госконтрактов дроны закупают для мониторинга природных объектов или строительства, а в ближайшее время они могут потребоваться и для построения цифровых моделей зданий. Но широкому применению таких технологий в госсекторе препятствует законодательство и обязательные процедуры контроля со стороны Минобороны, отмечают участники рынка.",Нет,,,,,2022-02-24,
Ближний Восток оказался между Москвой и Вашингтоном // Страны региона опасаются однозначно высказаться по кризису вокруг Украины,"Развитие событий вокруг Украины может повлиять на расклад сил и в других международных конфликтах. На Ближнем Востоке ситуация в центре Европы вызывает особую озабоченность. Израиль был одним из тех, кто до последнего тянул с реакцией на признание Россией независимости Донецкой и Луганской народных республик (ДНР и ЛНР), опасаясь испортить отношения либо с Москвой, либо с Вашингтоном. Держит паузу и Иран. Зато Турция не боится открыто изложить свою позицию: в Анкаре уверены — и это доказано на практике: разногласия не помешают ее взаимодействию с Москвой. У других стран такой уверенности нет.",Нет,,,,,2022-02-24,
Продавленная кнопка // Количество и популярность новостных и политических программ на ТВ растет,"Новостные и политические передачи «России 1» заняли заметное количество позиций в рейтингах ТВ за март и апрель, в отличие от программ «Первого канала», подсчитали в TWIGA на основе данных Mediascope. Федеральные каналы после начала военных действий на Украине в целом снизили число развлекательных передач и в топ-10 появилось много политических программ. Эксперты отмечают, что передачи «России 1» выходят часто и пользуются популярностью из-за оценочного характера, тогда как «Первый канал» предпочитает освещать события в информационном ключе. Но аналитики сомневаются, что это обернется для «России 1» ростом доходов.",Нет,,,,,2022-08-06,
Мобилизация пришла на рынки // ЦБ разработал новые меры поддержки граждан,"Банк России разослал профучастникам рекомендации по поддержке мобилизованных россиян. По мнению брокеров, наиболее действенными выглядят меры, которые предлагают воздержаться от взимания с клиентов комиссии в случае возникновения на их счетах отрицательной позиции. Между тем исполнение рекомендаций остается на совести профучастников, которые при желании легко смогут найти основания для отказа мобилизованному клиенту, полагают эксперты.",Нет,,,,,2022-07-11,
Гостей столицы оставили без очков // «Динамо» и «Локомотив» в четвертом туре обыграли «Ростов» и «Химки»,"Второй круг группового этапа Кубка России открылся двумя московскими матчами, в которых хозяева взяли верх над гостями. «Динамо» обыграло — 3:1 — «Ростов», а «Локомотив» одолел — 1:0 — «Химки», фактически выкинув их из турнира.",Нет,,,,,2022-10-18,
Сборная России сыграет против потерь // В матчах со словаками и словенцами ей нельзя транжирить очки,"В рамках открывающегося октябрьского окна Международной федерации футбола (FIFA) сборная России проведет два матча в отборе к чемпионату мира 2022 года, которые выглядят для нее серьезным испытанием. Ослабленная потерями российская команда, вместе с хорватской лидирующая в группе H, встретится в них с преследователями — словаками и словенцами. Осечки запросто могут не только лишить россиян возможности побороться за прямую путевку на катарское первенство, но и поставить под сомнение даже их участие в стыковых играх.",Нет,,,,,2021-08-10,
Вице-премьеров определили на службу // Координационный совет обеспечения военной операции приступил к работе,"На первом заседании координационного совета по обеспечению потребностей вооруженных сил при проведении военной операции РФ на Украине Михаил Мишустин распределил полномочия между двумя своими замами в этом новом органе при правительстве. Вице-премьер Дмитрий Григоренко будет отвечать за нормативно-правовое и финансовое обеспечение операции, вице-премьер Денис Мантуров — за поставки вооружения, техники и вещевого имущества. Для текущей деятельности в совете будут созданы профильные рабочие группы — также во главе с вице-премьерами. Они будут решать конкретные вопросы поставок для нужд военной операции, в частности, медикаментов и питания.",Нет,,,,,2022-10-25,
Контент уходит от рубля // Музыкальные лейблы и онлайн-кинотеатры против спецсчетов для платы за права,"Музыкальные мейджор-лейблы и онлайн-кинотеатры предупреждают российские власти о рисках новой формы расчета с иностранными правообладателями через специальный рублевый счет в банке. Лейблы опасаются, что в случае подписания соответствующего проекта указа президента правообладатели не смогут оперативно получать к этому счету доступ и платить российским работникам и артистам. Видеосервисы же боятся, что новый механизм приведет к массовому расторжению договоров на зарубежные фильмы и сериалы. Компании предлагают сделать расчеты через спецсчет правом, а не обязанностью.",Нет,,,,,2022-05-24,
Александр Лукашенко предъявил обсвинения Западу // Они прозвучали на встрече с Владимиром Путиным в Москве,"11 марта в Москве встретились президенты России и Белоруссии Владимир Путин и Александр Лукашенко. Специальный корреспондент “Ъ” Андрей Колесников постарался услышать из разговора двух коллег, как все случилось и на что следует ориентироваться,— и услышал.",Нет,,,,,2022-12-03,
Зима объявлена // Ключевой маршрут поставок газа в ЕС прекратил работу,"«Газпром» в преддверии отопительного сезона окончательно остановил поставки газа по трубопроводу «Северный поток», сославшись на неисправность последней работающей турбины на компрессорной станции «Портовая». Источники “Ъ” не ждут, что поставки могут быть возобновлены в обозримом будущем. Это означает вероятный новый всплеск цен на газ в Европе, а для самого «Газпрома» — дальнейшее снижение добычи.",Нет,,,,,2022-05-09,
Баку и Ереван с трудом нащупывают границы // Лидеры двух стран вновь попытаются найти выход из тупика,"Премьер-министр Армении Никол Пашинян и президент Азербайджана Ильхам Алиев в воскресенье предпримут новую попытку сдвинуть переговорный процесс с мертвой точки: они встретятся в Брюсселе. Ключевая договоренность предыдущей подобной встречи — о начале совместной работы комиссий двух стран по вопросам границы — до сих пор не воплотилась в жизнь. В Ереване считают причиной этого нежелание Баку искать компромиссы. Не испытывают большого оптимизма и собеседники “Ъ” в Азербайджане: они уверены, что любой прогресс в переговорах будет нивелирован очередными «недопустимыми» заявлениями армянской стороны по Карабаху.",Нет,,,,,2022-05-19,
Заводской заем // Готовится запуск промышленной ипотеки под 5% годовых,"В ближайшее время власти намерены запустить механизм промышленной ипотеки — кредиты на покупку или строительство производственных и сопутствующих помещений под 5% годовых. Объясняется такая мера необходимостью ускоренного развертывания выпуска продукции в рамках импортозамещения — сейчас в качестве одного из препятствий называются нехватка оборотных средств и высокие ставки по кредитам, которые составляют около 13–15%. Идею предприниматели поддерживают, но отмечают, что для эффективной работы программы механизм не должен быть зарегулирован, а господдержка промышленным предприятиям должна оказываться комплексно.",Нет,,,,,2022-06-28,
Эстафетный крест // Shaman выступил в Москве,"В первый день осени в столичном «Главклубе» прошел сольный концерт Ярослава Дронова, в последние годы прославившегося под сценическим именем Shaman. О певце и его аудитории — Борис Барабанов.",Нет,,,,,2022-03-09,
Социальные инженеры в осаде // Мошенники осваивают новые способы обработки клиентов банков,"Неожиданным результатом военных действий на Украине стало сокращение мошеннических звонков клиентам российских банков. По оценкам участников рынка, число телефонных атак социальных инженеров снизилось в несколько раз. Впрочем, оставшиеся в строю злоумышленники нашли способы использовать новые обстоятельства и теперь выманивают платежную информацию граждан, «предлагая спасти деньги на счетах в сложных санкционных обстоятельствах».",Нет,,,,,2022-02-03,
Бензин дешевеет оптом // На рынке образовался избыток предложения,"Боевые действия на Украине пока существенно не повлияли на отгрузки топлива, хотя некоторые трейдеры уже столкнулись с проблемами. При этом бензин в РФ с конца февраля значительно дешевеет в опте, несмотря на увеличение нефтяных котировок, так как на рынке образовались избыточные запасы товара. Тем не менее, по мнению экспертов, снижение цен на бензин на АЗС в ближайшие месяцы маловероятно.",Нет,,,,,2022-02-03,
Homo sapiens получил Нобелевку за гоминидов // Премию по физиологии и медицине присудили за изучение вымерших приматов,"Лауреатом Нобелевской премии по физиологии и медицине стал шведский ученый Сванте Паабо за открытия, касающиеся геномов вымерших гоминидов (приматов) и эволюции человека. Господин Паабо знаменит тем, что впервые в истории расшифровал ДНК неандертальца, а позднее доказал, что неандертальцы, Homo sapiens и денисовцы в процессе миграции «разумных людей» из Африки в Евразию встречались и «вступали в интимные отношения друг с другом». Как отмечают в Нобелевском комитете, труды Сванте Паабо «широко используются научным сообществом для лучшего понимания эволюции и миграции человека». Благодаря его исследованиям появилась новая научная дисциплина — палеогеномика.",Нет,,,,,2022-03-10,
"Места, куда доселе не ступала нога премьера // Глава правительства Израиля побывал в Абу-Даби с историческим визитом","Нафтали Беннет первым среди израильских премьер-министров посетил ОАЭ — страну, которая открыла новый этап нормализации отношений между арабским миром и еврейским государством. Двусмысленность ситуации придает тот факт, что Абу-Даби одновременно начал сближение с Тегераном — главным врагом Израиля в регионе.",Нет,,,,,2021-12-14,
Процент отечества // Wildberries и международные платежные системы торгуются за комиссию,"Международные платежные системы поручили банкам до конца августа разобраться с дополнительными комиссиями, которые ввел онлайн-ритейлер Wildberries при оплате их картами. Сама компания считает, что ввела лишь скидку для российских платежных сервисов. По мнению экспертов, громкий скандал вокруг этой темы нужен Wildberries, чтобы выторговать у Visa и Mastercard более низкие комиссии. В Wildberries говорят, что «готовы обсуждать условия сотрудничества со всеми платежными системами», а одна уже согласилась на переговоры.",Нет,,,,,2021-08-21,
Свинина нагуляла инвестиции // Крупные хозяйства наращивают производство,"В следующем году в целом по России будет произведено более 5 млн тонн свинины в живом весе, что на 12% больше год к году, прогнозируют в Национальном союзе свиноводов (НСС). Показатели текущих темпов роста скромнее: по итогам этого года объем производства вырастет всего на 1%. Однако увеличение производства несет для производителей дополнительные риски со сбытом продукции, предупреждают эксперты.",Нет,,,,,2021-11-26,
Дипломатическая война США и России // Хроника,"В декабре 2016 года США решили выслать из страны 35 российских дипломатов в качестве ответа на «вмешательство России в американские выборы». Кроме того, был закрыт доступ к загородным дачам постпредства России в Нью-Йорке и посольства в Вашингтоне.В июле 2017 года Россия постановила сократить численность дипломатических и технических сотрудников в посольстве и консульствах США на 755 человек. Также с 1 августа было приостановлено использование посольством США двух объектов недвижимости в Москве — дачи в Серебряном Бору и склада на Дорожной улице. В результате посольство США временно приостановило выпуск неиммиграционных виз на территории России.В августе 2017 года США приняли решение закрыть генконсульство России в Сан-Франциско и два консульских объекта в Вашингтоне и Нью-Йорке.В марте 2018 года 22 страны приняли решение выслать российских дипломатов в связи с делом Скрипалей. Больше всех выслали США — 60 человек. В ответ РФ выслала 60 американских дипломатов.В декабре 2020 года Госдепартамент…",Нет,,,,,2021-03-08,
«В Москве произошли революционные изменения грузовой логистики за время пандемии» // Михаил Блинкин про изменения в доставке грузов в Москве,"В прошлом году весь мир пережил длительный локдаун из-за пандемии COVID-19, а недавно в России закончился очередной режим «нерабочих дней». За это время все логистические цепочки пережили значительные изменения. Председатель Общественного совета при Минтрансе России, директор Института экономики транспорта и транспортной политики Высшей школы экономики Михаил Блинкин рассказал “Ъ”, что и как поменялось в столичной городской логистике за последнее время.",Нет,,,,,2021-11-17,
Биткойн привязался к США // Курсы виртуальных валют взлетели вслед за американским фондовым рынком,"Котировки ведущих виртуальных валют вернулись к значениям полутора-трехмесячной давности, прибавив за последние два дня 8–15%. Так, курс биткойна превышал уровень $21 тыс., максимум с середины сентября. Эксперты связывают оживление рынка криптовалют прежде всего с позитивной динамикой американского рынка. Впрочем, предупреждают аналитики, рост продлится недолго и не исключено падение курса биткойна до $15 тыс. и даже ниже.",Нет,,,,,2022-10-26,
Кредит по челноку // Банки увеличили валютное финансирование физических лиц,"На фоне тотального вытеснения иностранной валюты с российского рынка в июне неожиданно произошел серьезный рост выдачи валютных кредитов гражданам до максимума с 2019 года. При этом сам портфель таких кредитов за тот же месяц значительно сократился. Банки утверждают, что массовой розничной аудитории кредитов в валюте не выдают, тем более что ЦБ требует от них сокращения валютной позиции. По мнению экспертов, речь может идти об узком круге клиентов, задействованных в локальных внешнеторговых операциях, сходных с «челноками» 1990-х годов.",Нет,,,,,2022-01-08,
"Почти дошагали // Ключевая ставка ЦБ повышена, но уже без энтузиазма","Ключевая ставка ЦБ повышена советом директоров регулятора всего на один шаг, обсуждалось и сохранение ставки на прежнем уровне в 6,5% годовых. Новая величина ставки, вероятно, близка к пиковой на ближайшие месяцы, снижения текущей инфляции Банк России, который, впрочем, готов к дальнейшему ужесточению денежно-кредитной политики (ДКП), ожидает уже в четвертом квартале 2021 года. Исходя из оценок ЦБ, предложение в экономике РФ по-прежнему не успевает за спросом, корпоративные прибыли этого года будут высокими, впрочем, по крайней мере пока прогнозы среднесрочной динамики ВВП остаются теми же, «потолок» в 2–3% роста сохраняется.",Нет,,,,,2021-10-09,
Севморспутники миллиардов // Космической поддержке навигации по СМП расписали бюджетное финансирование,"Правительство направит 151 млрд руб. из госбюджета на создание космических спутников для безопасной навигации по Севморпути. По плану, к 2024 году на орбите будут находиться два аппарата «Арктика-М» для мониторинга погоды, два спутника «Кондор-ФКА» и один «Обзор-Р» для радиолокационной съемки акватории. Расширение спутниковой группировки критически важно, говорят аналитики: российские компании из-за санкций не могут заказывать у иностранных фирм данные дистанционного зондирования Земли и систем идентификации судов.",Нет,,,,,2022-04-08,
Большинство россиян не верит в соблюдение принципа «Спорт вне политики» // Контекст,"90% россиян считают в той или иной мере несправедливым отстранение российских спортсменов от международных соревнований из-за «специальной военной операции» на Украине. Это следует из результатов социологического опроса, проведенного ВЦИОМом 25 апреля. Противоположного мнения придерживаются лишь 5% опрошенных. Те же 90% респондентов полагают, что принцип «Спорт вне политики» сегодня скорее не соблюдается, а все еще верят в его действенность 4%. А вот в отношении отказа некоторых российских спортсменов от участия в международных соревнованиях в случае, если от них требуют публичной оценки «специальной военной операции», респонденты были не столь единодушны: 63% из них считают такое решение правильным, 20% — неправильным и еще 17% затруднились с ответом.",Нет,,,,,2022-04-27,
"Штрафам покажут дорогу // Регионы будут сами решать, как наказывать нарушителей на платных трассах","Субъекты федерации получат право самостоятельно определять санкции для нарушителей проезда по платным дорогам и направлять собранные штрафы в местные бюджеты, следует из законопроекта Минтранса. Сейчас на федеральных трассах, например Центральной кольцевой автодороге (ЦКАД) и М-12, действует штрафная вилка 1,5–5 тыс. руб. Необходимость изменений Минтранс объясняет «анализом правоприменительной практики». Если поправки примут, новые санкции, вероятно, будут ждать пользователей Московского скоростного диаметра, северного дублера Кутузовского проспекта, будущих платных дорог Московской области и других региональных объектов.",Нет,,,,,2022-10-10,
«Большая книга» вошла в историю // В тройке призеров самой престижной премии года книги о XIX и первой половине ХХ века,"В Большом зале Дома Пашкова состоялось вручение XVI Национальной литературной премии «Большая книга». Первый приз (3 млн руб.) получил Леонид Юзефович за роман «Филэллин» (“Ъ” рассказывал о нем 28 января), второй (1,5 млн руб.) — Майя Кучерская за биографию Николая Лескова, третий (1 млн руб.) достался автору романа «Вечная мерзлота» Виктору Ремизову. На церемонии награждения побывал Михаил Пророков.",Нет,,,,,2021-11-12,
Новые купюры не проходят в банкоматы // Настройка оборудования может растянуться на годы,"Новая сторублевка, представленная ЦБ, не скоро окажется в кошельках граждан, полагают банкиры: прежде ее должны научиться распознавать банкоматы и счетные машинки. По мнению участников рынка, в условиях санкций и ухода из России основных западных производителей оборудования на это может уйти несколько лет.",Нет,,,,,2022-06-30,
Интернет вещей пришел за деньгами // Российские банки отразили крупнейшую DDoS-атаку,"“Ъ” стали известны подробности масштабной атаки на российские финансовые организации, совершенной в августе. По интенсивности и продолжительности она превысила атаки 2019–2020 годов и затронула деятельность дюжины крупнейших банков. Атака проводилась с использованием «интернета вещей», уровень защиты которого оставляет желать лучшего. Впрочем, банки прошли это испытание без потерь.",Нет,,,,,2021-02-09,
Контроль и надзор ожидают счета // Правительство обещает усилить реформу по итогам оцифровки проверок,"Несмотря на внедрение риск-ориентированного подхода к контрольно-надзорной деятельности (КНД), перелома в поведении контролеров пока не произошло — количество проверок на ряде рынков возросло, жаловались вчера представители бизнеса на заседании «Опоры России». Правительство обещает сокращать избыточный контроль, но руководствоваться будет не отдельными сигналами с рынка, а оперативными данными о состоянии КНД — для этого налажен сбор аналитики по досудебному обжалованию действий контролеров, проверкам и нарушениям обязательных требований, а вскоре добавится и статистика по КоАП. Проблема, решение которой пока никто не смог найти,— откат реформы КНД из-за возвращения обязательных требований через Госдуму.",Нет,,,,,2021-10-15,
ГЧП прописана перезагрузка // Участники рынка предложили правительству донастроить этот инвестмеханизм,"На фоне падения инвестиционной активности в стране участники рынка государственно-частного партнерства (ГЧП) предлагают «перезагрузку» этого механизма. В отправленном ими в Белый дом письме предлагается систематизировать отношения государства и частных инвесторов в рамках нацпрограммы ГЧП — в частности, определить приоритетные сферы, создать проектный офис, расширить применение механизма за счет регуляторных изменений и увеличения финансирование проектов. Предполагается, что все это позволит реализовать к 2026 году ГЧП-проекты дополнительно на 1 трлн руб.",Нет,,,,,2022-10-21,
Одесса начала кормить мир // Судно с украинским продовольствием прибыло в порт назначения,"Первое судно с украинской сельхозпродукцией прибыло в конечный пункт назначения. Всего с начала августа по созданному согласно договоренностям России, Украины, Турции и ООН транспортному морскому коридору прошло 12 судов — десять из них вышли из украинских портов, два, напротив, отправились туда за грузом. Участники подписанной в июле в Стамбуле «продовольственной сделки» подтверждают, что украинская часть договоренностей успешно работает, тогда как вопросы, связанные экспортом российского продовольствия и удобрений, все еще остаются нерешенными.",Нет,,,,,2022-08-08,
«Время рефлексии прошло» // Глава ВТБ Андрей Костин о банковском деле в новой реальности,"После начала военных действий на Украине российская банковская система оказалась между двух огней — быстрых и жестких санкций Запада, с одной стороны, и внутренних ограничений властей РФ, пытавшихся стабилизировать стремительно погружавшуюся в кризис экономику — с другой. Под санкционные ограничения, в том числе заморозку активов, отключение от SWIFT, персональные санкции против руководства попали прежде всего госбанки. Как им удается перестроить работу в новых условиях, насколько адекватны изменения в регулировании и действительно ли нужна консолидация подконтрольных государству банков, “Ъ” рассказал глава ВТБ Андрей Костин.",Нет,,,,,2022-06-15,
Страны высшего сообщества просто поговорили // В Праге состоялся первый саммит новой европейской структуры,"В четверг, 6 октября, в Праге помимо начавшегося неформального саммита Евросоюза прошел и первый саммит Европейского политического сообщества (ЕПС). На этом форуме, идею проведения которого выдвинул в мае президент Франции Эмманюэль Макрон, не планировалось принятие никаких решений, но внимания к нему было приковано куда больше, нежели к традиционному сбору лидеров ЕС. В первую очередь потому, что специально созданная новая структура — ЕПС,— по словам главы европейской дипломатии Жозепа Борреля, должна помочь в формировании нового порядка на континенте, но без России. Насколько продвинутся на этом пути 44 участника ЕПС, некоторые из которых связаны с РФ стратегическими и даже союзническими узами, вызывало у всех неподдельный интерес.",Нет,,,,,2022-06-10,
